sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,sepal_petal_ratio
-0.9006811702978099,1.0190043519716065,-1.3402265266227635,-1.3154442950077407,0,3.642857142857143
-1.1430169111851116,-0.1319794793216258,-1.3402265266227635,-1.3154442950077407,0,3.5000000000000004
-1.3853526520724144,0.3284140531956675,-1.3970639535363667,-1.3154442950077407,0,3.6153846153846154
-1.5065205225160663,0.09821728693702086,-1.2833890997091604,-1.3154442950077407,0,3.0666666666666664
-1.0218490407414607,1.2492011182302531,-1.3402265266227635,-1.3154442950077407,0,3.5714285714285716
-0.5371775589668552,1.939791417006192,-1.169714245881954,-1.052179926427139,0,3.1764705882352944
-1.5065205225160663,0.7888075857129598,-1.3402265266227635,-1.18381211071744,0,3.2857142857142856
-1.0218490407414607,0.7888075857129598,-1.2833890997091604,-1.3154442950077407,0,3.3333333333333335
-1.748856263403368,-0.36217624558027245,-1.3402265266227635,-1.3154442950077407,0,3.1428571428571432
-1.1430169111851116,0.09821728693702086,-1.2833890997091604,-1.4470764792980415,0,3.266666666666667
-0.5371775589668552,1.4793978844888998,-1.2833890997091604,-1.3154442950077407,0,3.6
-1.2641847816287635,0.7888075857129598,-1.2265516727955572,-1.3154442950077407,0,2.9999999999999996
-1.2641847816287635,-0.1319794793216258,-1.3402265266227635,-1.4470764792980415,0,3.428571428571429
-1.87002413384702,-0.1319794793216258,-1.5107388073635728,-1.4470764792980415,0,3.9090909090909087
-0.052506077192250644,2.169988183264839,-1.4539013804499696,-1.3154442950077407,0,4.833333333333333
-0.1736739476359015,3.0907752482994253,-1.2833890997091604,-1.052179926427139,0,3.8000000000000003
-0.5371775589668552,1.939791417006192,-1.3970639535363667,-1.052179926427139,0,4.153846153846154
-0.9006811702978099,1.0190043519716065,-1.3402265266227635,-1.18381211071744,0,3.642857142857143
-0.1736739476359015,1.7095946507475455,-1.169714245881954,-1.18381211071744,0,3.3529411764705883
-0.9006811702978099,1.7095946507475455,-1.2833890997091604,-1.18381211071744,0,3.4
-0.5371775589668552,0.7888075857129598,-1.169714245881954,-1.3154442950077407,0,3.1764705882352944
-0.9006811702978099,1.4793978844888998,-1.2833890997091604,-1.052179926427139,0,3.4
-1.5065205225160663,1.2492011182302531,-1.567576234277176,-1.3154442950077407,0,4.6
-0.9006811702978099,0.5586108194543131,-1.169714245881954,-0.9205477421368382,0,3.0
-1.2641847816287635,0.7888075857129598,-1.056039392054748,-1.3154442950077407,0,2.526315789473684
-1.0218490407414607,-0.1319794793216258,-1.2265516727955572,-1.3154442950077407,0,3.125
-1.0218490407414607,0.7888075857129598,-1.2265516727955572,-1.052179926427139,0,3.125
-0.779513299854158,1.0190043519716065,-1.2833890997091604,-1.3154442950077407,0,3.466666666666667
-0.779513299854158,0.7888075857129598,-1.3402265266227635,-1.3154442950077407,0,3.714285714285715
-1.3853526520724144,0.3284140531956675,-1.2265516727955572,-1.3154442950077407,0,2.9375
-1.2641847816287635,0.09821728693702086,-1.2265516727955572,-1.3154442950077407,0,2.9999999999999996
-0.5371775589668552,0.7888075857129598,-1.2833890997091604,-1.052179926427139,0,3.6
